"","pred","obs","BLCA","BRCA","HNSC","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"60","BRCA","BRCA",0.145717561244965,0.713110029697418,0.141172364354134,144,10,4,0.1,0,0.7,1,0.8,"Fold04.Rep1"
"61","BRCA","BRCA",0.145717561244965,0.713110029697418,0.141172364354134,148,10,4,0.1,0,0.7,1,0.8,"Fold04.Rep1"
"62","BLCA","BLCA",0.548419654369354,0.156461447477341,0.295118898153305,25,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"63","BLCA","BLCA",0.51966404914856,0.229763150215149,0.250572800636292,35,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"64","BLCA","BLCA",0.411064386367798,0.196580812335014,0.392354786396027,37,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"65","BLCA","BLCA",0.678256154060364,0.160934671759605,0.16080915927887,39,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"66","BLCA","BLCA",0.678256154060364,0.160934671759605,0.16080915927887,48,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"67","HNSC","HNSC",0.196342468261719,0.15025532245636,0.653402209281921,60,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"68","HNSC","HNSC",0.146461471915245,0.142843559384346,0.710694968700409,81,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"69","HNSC","HNSC",0.312195658683777,0.161280140280724,0.526524186134338,83,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"70","BLCA","HNSC",0.459821075201035,0.184140026569366,0.356038868427277,86,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"71","HNSC","HNSC",0.158905506134033,0.144616469740868,0.696478009223938,87,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"72","HNSC","HNSC",0.152942091226578,0.138418108224869,0.708639800548553,95,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"73","HNSC","HNSC",0.152942091226578,0.138418108224869,0.708639800548553,115,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"74","HNSC","HNSC",0.164907395839691,0.146973982453346,0.688118636608124,126,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"75","BRCA","BRCA",0.146355256438255,0.7127406001091,0.140904188156128,138,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"76","BRCA","BRCA",0.144842058420181,0.71400398015976,0.141153961420059,140,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"77","BLCA","BLCA",0.716712772846222,0.141556426882744,0.141730755567551,9,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"78","BLCA","BLCA",0.716712772846222,0.141556426882744,0.141730755567551,27,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"79","BLCA","BLCA",0.673189282417297,0.163304820656776,0.163505926728249,28,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"80","BLCA","BLCA",0.637230038642883,0.175543680787086,0.187226295471191,36,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"81","BLCA","BLCA",0.682001829147339,0.157813608646393,0.16018457710743,47,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
