"","pred","obs","BRCA","HNSC","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"44","BRCA","HNSC",0.722176551818848,0.277823448181152,63,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"45","HNSC","BRCA",0.238229557871819,0.761770442128181,84,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"46","BRCA","BRCA",0.789115309715271,0.210884690284729,94,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"47","HNSC","HNSC",0.195436909794807,0.804563090205193,19,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"48","HNSC","HNSC",0.195436909794807,0.804563090205193,21,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"49","HNSC","HNSC",0.195436909794807,0.804563090205193,27,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"50","HNSC","HNSC",0.195436909794807,0.804563090205193,47,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"51","HNSC","HNSC",0.195436909794807,0.804563090205193,49,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"52","HNSC","HNSC",0.195436909794807,0.804563090205193,53,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"53","HNSC","HNSC",0.195436909794807,0.804563090205193,66,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"54","HNSC","HNSC",0.195436909794807,0.804563090205193,72,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"55","BRCA","BRCA",0.807014644145966,0.192985355854034,80,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"56","BRCA","BRCA",0.807014644145966,0.192985355854034,91,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"57","HNSC","HNSC",0.194372490048409,0.805627509951591,18,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"58","HNSC","HNSC",0.194372490048409,0.805627509951591,25,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"59","BRCA","HNSC",0.536155998706818,0.463844001293182,44,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"60","HNSC","HNSC",0.194372490048409,0.805627509951591,46,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"61","HNSC","HNSC",0.194372490048409,0.805627509951591,48,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"62","HNSC","HNSC",0.194372490048409,0.805627509951591,57,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"63","HNSC","HNSC",0.194372490048409,0.805627509951591,73,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"64","HNSC","HNSC",0.221568495035172,0.778431504964828,75,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"65","BRCA","BRCA",0.804650902748108,0.195349097251892,88,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"66","BRCA","BRCA",0.804650902748108,0.195349097251892,89,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"67","HNSC","HNSC",0.196383953094482,0.803616046905518,10,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"68","HNSC","HNSC",0.196383953094482,0.803616046905518,20,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"69","HNSC","HNSC",0.196383953094482,0.803616046905518,26,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"70","HNSC","HNSC",0.196383953094482,0.803616046905518,28,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"71","HNSC","HNSC",0.196383953094482,0.803616046905518,30,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"72","HNSC","HNSC",0.196383953094482,0.803616046905518,35,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"73","BRCA","HNSC",0.640406727790833,0.359593272209167,62,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"74","HNSC","HNSC",0.196383953094482,0.803616046905518,68,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"75","BRCA","BRCA",0.743545293807983,0.256454706192017,82,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"76","BRCA","BRCA",0.806157648563385,0.193842351436615,93,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"77","HNSC","HNSC",0.195107445120811,0.804892554879189,5,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"78","HNSC","HNSC",0.195107445120811,0.804892554879189,24,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"79","HNSC","HNSC",0.195107445120811,0.804892554879189,29,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"80","HNSC","HNSC",0.195107445120811,0.804892554879189,34,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"81","HNSC","HNSC",0.417969673871994,0.582030326128006,45,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"82","HNSC","HNSC",0.195107445120811,0.804892554879189,60,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"83","HNSC","HNSC",0.195107445120811,0.804892554879189,74,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"84","HNSC","HNSC",0.195107445120811,0.804892554879189,76,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"85","BRCA","BRCA",0.54778641462326,0.45221358537674,81,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"86","BRCA","BRCA",0.806873142719269,0.193126857280731,87,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"87","HNSC","HNSC",0.194558501243591,0.805441498756409,2,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"88","HNSC","HNSC",0.194558501243591,0.805441498756409,4,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"89","HNSC","HNSC",0.194558501243591,0.805441498756409,9,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"90","HNSC","HNSC",0.194558501243591,0.805441498756409,12,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"91","HNSC","HNSC",0.194558501243591,0.805441498756409,31,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"92","HNSC","HNSC",0.194558501243591,0.805441498756409,52,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"93","HNSC","HNSC",0.194558501243591,0.805441498756409,64,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"94","BRCA","BRCA",0.806223809719086,0.193776190280914,90,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"95","BRCA","BRCA",0.806223809719086,0.193776190280914,92,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
