sampleid	investigation	disease_type	experimental_strategy	data_submitting_center_label
s2689	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2690	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2692	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2696	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2697	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2703	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2704	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2707	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2708	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2710	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2711	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2712	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2725	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2735	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2860	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2862	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2867	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2871	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2872	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2873	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2875	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2884	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2885	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2889	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2892	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2903	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2913	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2919	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2920	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s2935	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3080	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3083	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3084	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3085	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3087	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3090	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3096	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3097	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3102	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3107	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3111	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3118	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3122	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3269	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3270	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3272	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
s3276	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	Harvard Medical School
