Feature ID	Taxon
Abiotrophia	Abiotrophia
Acetoanaerobium	Acetoanaerobium
Acetobacter	Acetobacter
Acholeplasma	Acholeplasma
Achromobacter	Achromobacter
Acidianus	Acidianus
Acidibrevibacterium	Acidibrevibacterium
Acidiferrobacter	Acidiferrobacter
Acidihalobacter	Acidihalobacter
Acidipropionibacterium	Acidipropionibacterium
Acidithiobacillus	Acidithiobacillus
Acidobacterium	Acidobacterium
Acidovorax	Acidovorax
Acinetobacter	Acinetobacter
Actinoalloteichus	Actinoalloteichus
Actinobaculum	Actinobaculum
Actinomadura	Actinomadura
Actinomyces	Actinomyces
Actinoplanes	Actinoplanes
Actinopolymorpha	Actinopolymorpha
Actinopolyspora	Actinopolyspora
Actinosynnema	Actinosynnema
Actinotalea	Actinotalea
Actinotignum	Actinotignum
Aeribacillus	Aeribacillus
Aerococcus	Aerococcus
Aeromicrobium	Aeromicrobium
Aeromonas	Aeromonas
Afipia	Afipia
Agarilytica	Agarilytica
Aggregatibacter	Aggregatibacter
Agrobacterium	Agrobacterium
Agrococcus	Agrococcus
Agromyces	Agromyces
Ahniella	Ahniella
Akkermansia	Akkermansia
Alcaligenes	Alcaligenes
Alcanivorax	Alcanivorax
Algibacter	Algibacter
Alicycliphilus	Alicycliphilus
Alicyclobacillus	Alicyclobacillus
Alienimonas	Alienimonas
Aliivibrio	Aliivibrio
Alistipes	Alistipes
Alkalihalobacillus	Alkalihalobacillus
Allokutzneria	Allokutzneria
Alloprevotella	Alloprevotella
Alphabaculovirus	Alphabaculovirus
Alphatorquevirus	Alphatorquevirus
Altererythrobacter	Altererythrobacter
Alteromonas	Alteromonas
Amedibacterium	Amedibacterium
Aminipila	Aminipila
Aminobacter	Aminobacter
Amycolatopsis	Amycolatopsis
Anabaena	Anabaena
Anaerobutyricum	Anaerobutyricum
Anaerococcus	Anaerococcus
Anaerocolumna	Anaerocolumna
Anaeromyxobacter	Anaeromyxobacter
Anaerostipes	Anaerostipes
Ancylobacter	Ancylobacter
Andhravirus	Andhravirus
Anoxybacillus	Anoxybacillus
Anoxybacter	Anoxybacter
Anseongella	Anseongella
Antarcticibacterium	Antarcticibacterium
Antarctobacter	Antarctobacter
Apibacter	Apibacter
