sampleid	investigation	disease_type	experimental_strategy	data_submitting_center_label
s2691	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2698	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2699	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2715	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2716	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2719	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2720	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2721	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2726	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2731	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2733	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2736	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2737	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2738	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2858	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2874	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2882	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2887	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2890	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2894	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2895	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2899	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2901	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2907	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2909	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2911	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2914	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2917	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2922	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2923	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2924	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2931	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s2937	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3089	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3092	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3095	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3098	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3108	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3109	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3112	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3114	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3116	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3125	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3129	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3131	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3273	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3274	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3278	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
s3282	TCGA-BLCA	Bladder Urothelial Carcinoma	WGS	MD Anderson - Institute for Applied Cancer Science
